#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
6800000         -83539542.5630  -3160859.3295   0.0000          0.0000          0.0000          -80378683.2336  -65072788.2351  2730.9695       4919.6444       1402.8373       0.05203634      0.07805451      0.07805451      0.15610902      0.01300908      0.15610902      0.15610902      0.31051850      
6900000         -83534500.1213  -3152489.5231   0.0000          0.0000          0.0000          -80382010.5982  -65075998.7583  2613.3331       4919.4184       1402.7175       0.05203874      0.07805811      0.07805811      0.15611622      0.01300968      0.15611622      0.15611622      0.31048671      
7000000         -83478804.8478  -3121337.2898   0.0000          0.0000          0.0000          -80357467.5579  -65051721.5149  2811.3591       4900.1528       1392.5081       0.05224337      0.07836506      0.07836506      0.15673012      0.01306084      0.15673012      0.15673012      0.30777531      
7100000         -83488293.7338  -3131607.1661   0.0000          0.0000          0.0000          -80356686.5677  -65050926.6694  2811.1207       4904.0237       1394.5594       0.05220209      0.07830314      0.07830314      0.15660627      0.01305052      0.15660627      0.15660627      0.30832229      
7200000         -83550412.5249  -3176249.4177   0.0000          0.0000          0.0000          -80374163.1071  -65068392.7983  2853.2460       4918.9584       1402.4737       0.05204359      0.07806538      0.07806538      0.15613076      0.01301090      0.15613076      0.15613076      0.31042246      
7300000         -83559549.6742  -3182584.0445   0.0000          0.0000          0.0000          -80376965.6297  -65071095.3145  2761.0520       4921.1793       1403.6507       0.05202009      0.07803013      0.07803013      0.15606026      0.01300502      0.15606026      0.15606026      0.31073385      
7400000         -83528975.9275  -3166131.0104   0.0000          0.0000          0.0000          -80362844.9170  -65056955.3875  2712.6663       4912.8866       1399.2561       0.05210792      0.07816188      0.07816188      0.15632375      0.01302698      0.15632375      0.15632375      0.30957009      
7500000         -83546128.9861  -3184971.2361   0.0000          0.0000          0.0000          -80361157.7500  -65055366.1472  2823.7774       4916.6345       1401.2423       0.05206817      0.07810225      0.07810225      0.15620450      0.01301704      0.15620450      0.15620450      0.31009681      
7600000         -83534106.8047  -3159846.6163   0.0000          0.0000          0.0000          -80374260.1883  -65068479.0464  2824.6011       4913.8949       1399.7905       0.05209720      0.07814580      0.07814580      0.15629160      0.01302430      0.15629160      0.15629160      0.30971211      
7700000         -83528002.0715  -3160820.3689   0.0000          0.0000          0.0000          -80367181.7025  -65061256.9413  2682.2815       4914.2644       1399.9863       0.05209329      0.07813993      0.07813993      0.15627986      0.01302332      0.15627986      0.15627986      0.30976394      
7800000         -83522352.7540  -3164834.8202   0.0000          0.0000          0.0000          -80357517.9337  -65051567.4013  2666.5292       4917.1125       1401.4956       0.05206311      0.07809466      0.07809466      0.15618933      0.01301578      0.15618933      0.15618933      0.31016381      
7900000         -83536450.1416  -3173355.9549   0.0000          0.0000          0.0000          -80363094.1867  -65057156.3257  2694.0016       4921.3201       1403.7253       0.05201860      0.07802790      0.07802790      0.15605580      0.01300465      0.15605580      0.15605580      0.31075356      
8000000         -83527696.5126  -3165536.9870   0.0000          0.0000          0.0000          -80362159.5256  -65056168.8323  2627.5928       4917.4606       1401.6800       0.05205940      0.07808910      0.07808910      0.15617820      0.01301485      0.15617820      0.15617820      0.31021293      
8100000         -83513929.9337  -3147219.6273   0.0000          0.0000          0.0000          -80366710.3064  -65060928.0248  2817.2744       4912.1361       1398.8584       0.05211587      0.07817380      0.07817380      0.15634761      0.01302897      0.15634761      0.15634761      0.30946473      
8200000         -83521132.5285  -3163464.3224   0.0000          0.0000          0.0000          -80357668.2061  -65051838.1174  2786.5156       4916.9825       1401.4267       0.05206447      0.07809671      0.07809671      0.15619342      0.01301612      0.15619342      0.15619342      0.31014575      
8300000         -83493528.9958  -3146673.0865   0.0000          0.0000          0.0000          -80346855.9092  -65040963.8754  2696.7957       4909.0868       1397.2425       0.05214823      0.07822234      0.07822234      0.15644469      0.01303706      0.15644469      0.15644469      0.30903597      
8400000         -83529892.2201  -3181303.9745   0.0000          0.0000          0.0000          -80348588.2456  -65042825.4437  2853.8739       4917.0029       1401.4375       0.05206428      0.07809643      0.07809643      0.15619285      0.01301607      0.15619285      0.15619285      0.31014823      
8500000         -83503895.1218  -3153462.1541   0.0000          0.0000          0.0000          -80350432.9676  -65044792.9322  2961.1910       4912.6110       1399.1101       0.05211084      0.07816626      0.07816626      0.15633252      0.01302771      0.15633252      0.15633252      0.30953138      
8600000         -83480083.3004  -3139604.8550   0.0000          0.0000          0.0000          -80340478.4453  -65034838.1232  2937.2374       4905.8830       1395.5447       0.05218233      0.07827349      0.07827349      0.15654698      0.01304558      0.15654698      0.15654698      0.30858416      
8700000         -83492476.7604  -3151817.9228   0.0000          0.0000          0.0000          -80340658.8375  -65034934.8554  2877.7867       4912.7651       1399.1918       0.05210919      0.07816379      0.07816379      0.15632758      0.01302730      0.15632758      0.15632758      0.30955320      
8800000         -83460305.5326  -3118806.2222   0.0000          0.0000          0.0000          -80341499.3104  -65035888.2358  2956.5441       4903.0571       1394.0472       0.05221235      0.07831852      0.07831852      0.15663704      0.01305309      0.15663704      0.15663704      0.30818639      
8900000         -83460053.3707  -3111842.5613   0.0000          0.0000          0.0000          -80348210.8094  -65042481.1820  2841.5952       4904.0816       1394.5901       0.05220146      0.07830219      0.07830219      0.15660437      0.01305036      0.15660437      0.15660437      0.30833070      
9000000         -83480939.2014  -3130669.0539   0.0000          0.0000          0.0000          -80350270.1475  -65044354.4456  2667.2973       4907.4294       1396.3642       0.05216585      0.07824877      0.07824877      0.15649754      0.01304146      0.15649754      0.15649754      0.30880254      
9100000         -83474379.0232  -3126249.4112   0.0000          0.0000          0.0000          -80348129.6120  -65042381.8445  2823.9360       4904.2183       1394.6625       0.05220000      0.07830000      0.07830000      0.15660000      0.01305000      0.15660000      0.15660000      0.30835002      
9200000         -83481944.8584  -3136542.9480   0.0000          0.0000          0.0000          -80345401.9104  -65039814.9063  2993.9181       4906.8390       1396.0513       0.05217224      0.07825836      0.07825836      0.15651671      0.01304306      0.15651671      0.15651671      0.30871786      
9300000         -83503793.7087  -3157585.2764   0.0000          0.0000          0.0000          -80346208.4323  -65040524.5369  2924.5863       4914.6735       1400.2030       0.05208895      0.07813343      0.07813343      0.15626685      0.01302224      0.15626685      0.15626685      0.30982140      
9400000         -83484385.7882  -3137470.5709   0.0000          0.0000          0.0000          -80346915.2173  -65041264.7909  2944.2486       4910.7486       1398.1231       0.05213062      0.07819594      0.07819594      0.15639187      0.01303266      0.15639187      0.15639187      0.30926922      
9500000         -83528932.2455  -3173867.9969   0.0000          0.0000          0.0000          -80355064.2485  -65049431.1659  2990.8737       4919.0725       1402.5342       0.05204236      0.07806354      0.07806354      0.15612709      0.01301059      0.15612709      0.15612709      0.31043871      
9600000         -83549745.0218  -3193495.5012   0.0000          0.0000          0.0000          -80356249.5206  -65050441.6728  2839.8948       4925.8344       1406.1176       0.05197096      0.07795644      0.07795644      0.15591288      0.01299274      0.15591288      0.15591288      0.31138476      
9700000         -83521923.1845  -3176670.3772   0.0000          0.0000          0.0000          -80345252.8073  -65039388.5307  2765.8407       4920.8239       1403.4624       0.05202391      0.07803587      0.07803587      0.15607173      0.01300598      0.15607173      0.15607173      0.31068317      
9800000         -83503859.4639  -3157044.4822   0.0000          0.0000          0.0000          -80346814.9818  -65041061.5555  2858.3691       4915.6154       1400.7022       0.05207898      0.07811847      0.07811847      0.15623693      0.01301974      0.15623693      0.15623693      0.30995354      
9900000         -83495946.1697  -3147589.9898   0.0000          0.0000          0.0000          -80348356.1799  -65042518.3549  2749.8005       4908.7446       1397.0611       0.05215196      0.07822793      0.07822793      0.15645587      0.01303799      0.15645587      0.15645587      0.30898659      
10000000        -83505768.5277  -3151780.4561   0.0000          0.0000          0.0000          -80353988.0716  -65047992.9237  2596.5615       4909.9055       1397.6764       0.05213955      0.07820932      0.07820932      0.15641864      0.01303489      0.15641864      0.15641864      0.30915102      
10100000        -83472263.4592  -3138751.6487   0.0000          0.0000          0.0000          -80333511.8105  -65027579.2416  2644.6617       4905.7895       1395.4952       0.05218328      0.07827491      0.07827491      0.15654983      0.01304582      0.15654983      0.15654983      0.30857159      
10200000        -83500029.9903  -3147897.1731   0.0000          0.0000          0.0000          -80352132.8172  -65046323.5098  2787.8515       4911.4547       1398.4973       0.05212309      0.07818463      0.07818463      0.15636926      0.01303077      0.15636926      0.15636926      0.30936910      
10300000        -83508518.5578  -3153985.2395   0.0000          0.0000          0.0000          -80354533.3183  -65048803.4991  2868.9308       4911.9070       1398.7370       0.05211828      0.07817742      0.07817742      0.15635483      0.01302957      0.15635483      0.15635483      0.30943281      
10400000        -83516533.0682  -3152735.1004   0.0000          0.0000          0.0000          -80363797.9678  -65057997.1567  2804.6362       4913.8109       1399.7459       0.05209807      0.07814711      0.07814711      0.15629421      0.01302452      0.15629421      0.15629421      0.30970056      
10500000        -83504743.3079  -3141243.8486   0.0000          0.0000          0.0000          -80363499.4593  -65057650.9286  2731.6145       4906.6181       1395.9342       0.05217448      0.07826172      0.07826172      0.15652344      0.01304362      0.15652344      0.15652344      0.30868815      
